"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,229,230,230,230,230,229,231,229,230,227,230,230,231,234,231,232,234,228,230,232,231,230,231,233,232,233,233,230,230,230,232,233,229,231,232,231,230,228,232,229,230,232,231,229,230,232,226,231,229,230,227,228,232,227,232,229,234,232,232,227,231,227,235,228,231,231,230,231,229,229,233,231,229,230,230,234,231,232,228,226,231,234,233,231,233,233,231,232,230,231,231,230,231,228,233,229,231,232,228
87,85,85,85,86,88,87,86,86,85,85,85,84,86,86,85,86,84,85,88,87,86,86,87,88,86,85,86,87,87,86,85,86,85,86,86,86,86,85,85,87,86,86,84,85,87,86,85,85,84,87,87,86,85,84,85,88,86,87,85,86,84,86,87,84,86,86,86,86,85,86,86,85,85,86,86,86,87,86,86,86,85,86,85,87,86,84,84,86,86,88,87,87,84,86,88,88,84,86,87
90,90,90,91,91,91,92,91,92,90,89,88,91,90,89,91,89,90,90,88,89,90,91,91,89,89,87,91,89,92,91,91,89,90,90,91,90,88,90,90,91,89,90,88,89,91,90,91,90,88,90,88,89,90,90,90,90,89,90,91,89,89,89,90,91,90,90,89,91,89,89,91,89,90,91,90,90,89,89,90,90,89,91,89,87,89,92,92,88,90,92,90,91,92,89,91,89,89,90,90
165,166,167,167,166,165,166,167,163,167,168,166,167,168,165,166,166,166,166,167,168,166,168,166,166,166,167,169,166,165,166,166,167,166,169,165,165,167,165,165,167,166,168,165,168,166,168,167,166,166,167,168,168,168,168,168,169,167,166,168,166,167,165,167,165,168,167,167,164,167,167,167,167,168,168,167,168,166,167,166,166,166,165,167,164,166,166,167,165,167,165,165,165,167,165,166,166,166,166,167
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,234,234,232,234,232,235,232,234,232,235,234,236,234,235,235,236,232,233,230,236,234,234,235,234,236,234,235,233,236,231,235,233,233,234,235,234,234,237,232,235,233,233,233,234,232,235,236,235,233,233,237,235,237,233,235,236,234,233,233,235,236,235,232,232,233,234,236,236,233,235,235,235,236,235,236,233,234,232,236,234,232,236,236,237,235,235,233,234,236,231,236,236,233,235,232,233,236,234,233
157,156,158,156,156,156,156,158,159,156,156,157,157,157,158,156,159,155,157,156,157,155,155,156,155,157,158,158,156,158,155,156,158,154,156,155,158,158,157,158,155,159,156,155,159,159,157,157,154,156,157,157,155,157,157,157,155,156,158,157,158,155,157,156,156,158,156,157,155,155,158,157,158,154,157,158,156,157,155,155,155,160,155,154,155,157,156,155,156,158,156,156,156,158,157,157,156,156,157,157
88,88,88,89,87,86,85,87,87,87,87,86,87,88,89,88,87,89,88,87,86,87,89,86,87,88,89,87,88,88,86,87,87,87,88,87,86,87,87,89,86,87,86,87,87,87,88,88,87,87,87,87,87,86,88,88,86,88,88,86,87,88,88,89,88,87,89,88,88,86,88,88,89,87,86,87,89,87,87,87,87,87,88,87,85,87,87,88,88,87,88,87,88,88,86,87,88,88,88,87
